"alt"	"cis"	"trans"	"yind"	"zind"	"taudiff"	"tau0"	"tau1"	"tauratio"	"Z"	"S"	"pvalue"	"fdr"
"AmplificationPeak1"	"FOXJ3"	"ADIPOR2"	5	2	0.418123226628948	1.18061087863731	0.762487652008366	0.354158371902819	3.88742858909019	0.107557789692236	5.06558896374761e-05	0.00493870732604439
"AmplificationPeak1"	"FOXJ3"	"ALKBH3"	5	6	0.396431530378029	-0.800389676320743	-0.403958145942714	0.495298155518895	4.23249902511301	0.0936637027027891	1.15554457624321e-05	0.00290654042105398
"AmplificationPeak1"	"DPH2"	"BEND3"	1	21	0.374472903384864	0.714385251967034	0.339912348582169	0.524189017555677	3.83328273926658	0.0976898728468206	6.32222393644229e-05	0.00551031728355181
"AmplificationPeak1"	"FOXJ3"	"BIN1"	5	36	0.482748270641151	-0.803664175468787	-0.320915904827636	0.600684073493208	4.09551126535272	0.117872529060075	2.10618871090868e-05	0.00290654042105398
"AmplificationPeak1"	"FOXJ3"	"C12orf4"	5	9	0.17493899859721	0.624960618448519	0.450021619851309	0.279920035652008	3.06064565477722	0.0571575472397975	0.00110430153207627	0.0212642248502129
"AmplificationPeak1"	"PPIH"	"C16orf45"	20	18	0.290095875581722	-1.11546841915913	-0.825372543577407	0.260066417479039	2.80595496368048	0.103385791766669	0.00250838517613463	0.0295836300313964
"AmplificationPeak1"	"YRDC"	"C1orf74"	7	22	0.165779407386132	0.671273692804937	0.505494285418805	0.246962467266396	2.48757876005308	0.0666428778249394	0.00643079857698483	0.0451245866249444
"AmplificationPeak1"	"FOXJ3"	"CCDC77"	5	3	0.247212509404022	0.951478229390149	0.704265719986128	0.259819407074056	3.28867565505323	0.0751708393693875	0.000503299752518326	0.0157257432107613
"AmplificationPeak1"	"DPH2"	"CCDC83"	1	13	0.31134030964845	0.593490897060674	0.282150587412223	0.524591550081722	4.04922027959095	0.0768889534653575	2.56942792916167e-05	0.00303926617906551
"AmplificationPeak1"	"YBX1"	"DMTN"	3	31	0.605717421858695	-1.02254175656493	-0.416824334706232	0.592364485821597	4.19547267364792	0.144374059605548	1.36151558411823e-05	0.00290654042105398
"AmplificationPeak1"	"DPH2"	"DSN1"	1	30	0.296326862990454	0.593744671693595	0.297417808703141	0.499081300629128	3.56441042167564	0.0831348885045482	0.000182337482062156	0.00974035065467518
"AmplificationPeak1"	"YRDC"	"ENDOD1"	7	20	0.269682569731737	-0.913734238674693	-0.644051668942956	0.295143334152491	2.90322437115195	0.0928907088309995	0.00184670961513122	0.0271933769473636
"AmplificationPeak1"	"FOXJ3"	"FBXL14"	5	10	0.30796188057587	0.869206770634123	0.561244890058254	0.354302210912598	3.53579915424336	0.0870982392216142	0.0002032718262061	0.0102046736637668
"AmplificationPeak1"	"EBNA1BP2"	"FKBP4"	12	19	0.3749771085736	0.920345862712965	0.545368754139364	0.407430645114496	3.56589462684905	0.105156530916603	0.000181308529914333	0.00974035065467518
"AmplificationPeak1"	"GNL2"	"FZD3"	13	34	0.248072987593923	-0.899368807911893	-0.65129582031797	0.275830099300293	2.72692545662442	0.0909716791088984	0.00319637396135626	0.0322518779300832
"AmplificationPeak1"	"NFYC"	"HORMAD1"	4	7	0.457440766806273	1.91854674219607	1.4611059753898	0.238430868920432	2.72118128628432	0.168103745646029	0.00325245387338399	0.0322518779300832
"AmplificationPeak1"	"FOXJ3"	"ITFG2"	5	8	0.157382088914445	0.67850681847563	0.521124729561185	0.231953584885157	2.73367964837142	0.0575715186701576	0.00313154734196282	0.0320628945429542
"AmplificationPeak1"	"FOXJ3"	"KCNK15"	5	26	0.894551155062945	-1.88250606720632	-0.987954912143372	0.475191645140608	3.75394963250668	0.238295992923489	8.70349278414822e-05	0.00655135638661339
"AmplificationPeak1"	"DPH2"	"NCAPD2"	1	29	0.459285853271102	0.740105257141165	0.280819403870063	0.620568289225785	4.22781348187262	0.108634369808498	1.17986638149687e-05	0.00290654042105398
"AmplificationPeak1"	"EBNA1BP2"	"NDUFA9"	12	12	0.25304635855272	0.736282949632448	0.483236591079728	0.343680861656569	3.40932774209107	0.0742217755801667	0.000325615953667721	0.0126495742421297
"AmplificationPeak1"	"DPH2"	"NOP2"	1	23	0.340547631428427	0.699388383537284	0.358840752108857	0.486922058536411	3.61694988305961	0.0941532624002949	0.000149047496481523	0.00914157978420011
"AmplificationPeak1"	"CTPS1"	"RAD51AP1"	2	33	0.457189573218956	1.11296496719909	0.65577539398013	0.410785232862747	3.23358528477251	0.141387819697206	0.000611234150730721	0.0178867495005473
"AmplificationPeak1"	"YBX1"	"RGL3"	3	35	1.19275903840604	-1.61543879453479	-0.422679756128752	0.738349878956279	4.63876500462683	0.25712857564812	1.75248652687911e-06	0.00195309033926189
"AmplificationPeak1"	"TRIT1"	"RHNO1"	6	17	0.184541036128577	0.631128663485211	0.446587627356635	0.292398439185928	2.89764028596846	0.0636866615301418	0.00187990773189839	0.0271933769473636
"AmplificationPeak1"	"CTPS1"	"RSU1P2"	2	11	0.196565824633589	0.770553642629101	0.573987817995512	0.255096872896368	2.55598497182642	0.0769041394218878	0.00529438459387591	0.0402178939791675
"AmplificationPeak1"	"YRDC"	"SDR42E1"	7	25	0.513849320245049	-1.01198019439658	-0.498130874151534	0.507766182668668	3.88722063828016	0.132189388784577	5.06992901828229e-05	0.00493870732604439
"AmplificationPeak1"	"MED8"	"SPANXA2"	8	15	0.165437649685299	0.597533500987803	0.432095851302504	0.276867572130781	2.85652223288119	0.057915757763395	0.00214155003295679	0.0282955548340257
"AmplificationPeak1"	"MED8"	"SPANXC"	8	4	0.175509698123707	0.918067948473277	0.742558250349569	0.191172884769124	2.51041185235035	0.0699127109200779	0.00602952123819761	0.0429330540234681
"AmplificationPeak1"	"MED8"	"SSX5"	8	28	0.239386599626673	0.745726698967002	0.506340099340329	0.321011169317495	2.97203678445931	0.0805463111622367	0.00147915619080618	0.0242523034849013
"AmplificationPeak1"	"DPH2"	"SSX6"	1	24	0.379339957090439	0.745872517586913	0.366532560496474	0.508585513135274	3.70394298411093	0.102415171809534	0.000106136994320526	0.00737507767134221
